id,state,name,residents_confirmed,residents_confirmed_rate,residents_deaths,residents_deaths_rate,residents_active,residents_active_rate,residents_tested,residents_tested_rate,staff_confirmed,staff_confirmed_rate,staff_deaths,staff_deaths_rate,staff_active,staff_active_rate
239,District of Columbia,County Wide,2020-10-09|217;2020-10-14|217;2020-10-15|217;2020-10-20|217;2020-10-21|217;2020-10-28|217;2020-10-29|217;2020-10-30|217;2020-11-03|217;2020-11-05|217;2020-11-10|217;2020-11-12|217;2020-11-18|217;2020-11-20|218;2020-11-22|218;2020-11-26|218;2020-11-29|218;2020-11-30|218;2020-12-02|218;2020-12-04|218;2020-12-06|218;2020-12-07|218;2020-12-09|218;2020-12-13|218;2020-12-14|218;2020-12-16|219;2020-12-18|222;2020-12-21|222;2020-12-22|222;2020-12-23|224;2020-12-25|224;2020-12-27|224;2020-12-28|224;2020-12-29|224;2020-12-30|225;2021-01-01|227;2021-01-03|227;2021-01-04|227;2021-01-05|227;2021-01-06|227;2021-01-08|228;2021-01-11|228;2021-01-13|229;2021-01-15|229;2021-01-17|230;2021-01-18|230;2021-01-20|232;2021-01-22|232;2021-01-25|232;2021-01-27|232;2021-01-29|233;2021-01-31|233;2021-02-01|233;2021-02-03|241;2021-02-05|244;2021-02-07|244;2021-02-08|244;2021-02-10|244;2021-02-12|244;2021-02-14|244;2021-02-15|244;2021-02-17|244;2021-02-19|244;2021-02-22|245;2021-02-23|246;2021-02-24|246;2021-02-26|246;2021-02-28|248;2021-03-01|248;2021-03-03|250;2021-03-05|250;2021-03-07|251;2021-03-08|251;2021-03-10|251;2021-03-12|252;2021-03-14|252;2021-03-15|252;2021-03-17|253;2021-03-19|253;2021-03-21|253;2021-03-22|253;2021-03-24|254;2021-03-26|254;2021-03-28|254;2021-03-29|254;2021-03-31|254;2021-04-02|254;2021-04-04|254;2021-04-05|254;2021-04-07|257;2021-04-09|258;2021-04-11|258;2021-04-12|258;2021-04-14|259;2021-04-16|262;2021-04-18|262;2021-04-19|262;2021-04-21|262;2021-04-23|262;2021-04-25|262;2021-04-26|262;2021-04-28|262;2021-04-30|263;2021-05-02|263;2021-05-03|263;2021-05-05|263;2021-05-09|263;2021-05-10|263;2021-05-12|264;2021-05-16|265;2021-05-17|265;2021-05-19|265;2021-05-21|265;2021-05-23|265;2021-05-24|265;2021-05-26|265;2021-05-30|265;2021-05-31|265;2021-06-02|265;2021-06-04|265;2021-06-06|265;2021-06-07|265;2021-06-09|265;2021-06-11|265;2021-06-13|265;2021-06-14|265;2021-06-18|265;2021-06-21|265;2021-06-25|265;2021-06-28|265;,,2020-10-09|1;2020-10-14|1;2020-10-15|1;2020-10-20|1;2020-10-21|1;2020-10-28|1;2020-10-29|1;2020-10-30|1;2020-11-03|1;2020-11-05|1;2020-11-10|1;2020-11-12|1;2020-11-18|1;2020-11-20|1;2020-11-22|1;2020-11-26|1;2020-11-29|1;2020-11-30|1;2020-12-02|1;2020-12-04|1;2020-12-06|1;2020-12-07|1;2020-12-09|1;2020-12-13|1;2020-12-14|1;2020-12-16|1;2020-12-18|1;2020-12-21|1;2020-12-22|1;2020-12-23|1;2020-12-25|1;2020-12-27|1;2020-12-28|1;2020-12-29|1;2020-12-30|1;2021-01-01|1;2021-01-03|1;2021-01-04|1;2021-01-05|1;2021-01-06|1;2021-01-08|1;2021-01-11|1;2021-01-13|1;2021-01-15|1;2021-01-17|1;2021-01-18|1;2021-01-20|1;2021-01-22|1;2021-01-25|1;2021-01-27|1;2021-01-29|1;2021-01-31|1;2021-02-01|1;2021-02-03|1;2021-02-05|1;2021-02-07|1;2021-02-08|1;2021-02-10|1;2021-02-12|1;2021-02-14|1;2021-02-15|1;2021-02-17|1;2021-02-19|1;2021-02-22|1;2021-02-23|1;2021-02-24|1;2021-02-26|1;2021-02-28|1;2021-03-01|1;2021-03-03|1;2021-03-05|1;2021-03-07|1;2021-03-08|1;2021-03-10|1;2021-03-12|1;2021-03-14|1;2021-03-15|1;2021-03-17|1;2021-03-19|1;2021-03-21|1;2021-03-22|1;2021-03-24|1;2021-03-26|1;2021-03-28|1;2021-03-29|1;2021-03-31|1;2021-04-02|1;2021-04-04|1;2021-04-05|1;2021-04-07|1;2021-04-09|1;2021-04-11|1;2021-04-12|1;2021-04-14|1;2021-04-16|1;2021-04-18|1;2021-04-19|1;2021-04-21|1;2021-04-23|1;2021-04-25|1;2021-04-26|1;2021-04-28|1;2021-04-30|1;2021-05-02|1;2021-05-03|1;2021-05-05|1;2021-05-09|1;2021-05-10|1;2021-05-12|1;2021-05-16|1;2021-05-17|1;2021-05-19|1;2021-05-21|1;2021-05-23|1;2021-05-24|1;2021-05-26|1;2021-05-30|1;2021-05-31|1;2021-06-02|1;2021-06-04|1;2021-06-06|1;2021-06-07|1;2021-06-09|1;2021-06-11|1;2021-06-13|1;2021-06-14|1;2021-06-18|1;2021-06-21|1;2021-06-25|1;2021-06-28|1;,,,,,,2020-10-09|101;2020-10-14|101;2020-10-15|101;2020-10-20|101;2020-10-21|101;2020-10-28|102;2020-10-29|102;2020-10-30|102;2020-11-03|102;2020-11-05|102;2020-11-10|105;2020-11-12|105;2020-11-18|109;2020-11-20|111;2020-11-22|111;2020-11-26|114;2020-11-29|115;2020-11-30|115;2020-12-02|116;2020-12-04|120;2020-12-06|120;2020-12-07|120;2020-12-09|122;2020-12-13|125;2020-12-14|125;2020-12-16|133;2020-12-18|133;2020-12-21|137;2020-12-22|137;2020-12-23|139;2020-12-25|139;2020-12-27|143;2020-12-28|143;2020-12-29|143;2020-12-30|125;2021-01-01|148;2021-01-03|148;2021-01-04|148;2021-01-05|148;2021-01-06|152;2021-01-08|155;2021-01-11|155;2021-01-13|159;2021-01-15|165;2021-01-17|165;2021-01-18|165;2021-01-20|167;2021-01-22|168;2021-01-25|168;2021-01-27|170;2021-01-29|174;2021-01-31|174;2021-02-01|174;2021-02-03|175;2021-02-05|177;2021-02-07|178;2021-02-08|178;2021-02-10|180;2021-02-12|180;2021-02-14|182;2021-02-15|182;2021-02-17|183;2021-02-19|184;2021-02-22|188;2021-02-23|188;2021-02-24|189;2021-02-26|190;2021-02-28|190;2021-03-01|190;2021-03-03|190;2021-03-05|190;2021-03-07|190;2021-03-08|190;2021-03-10|191;2021-03-12|191;2021-03-14|192;2021-03-15|192;2021-03-17|192;2021-03-19|194;2021-03-21|195;2021-03-22|195;2021-03-24|196;2021-03-26|196;2021-03-28|197;2021-03-29|197;2021-03-31|199;2021-04-02|199;2021-04-04|199;2021-04-05|199;2021-04-07|202;2021-04-09|203;2021-04-11|203;2021-04-12|203;2021-04-14|207;2021-04-16|208;2021-04-18|208;2021-04-19|208;2021-04-21|208;2021-04-23|208;2021-04-25|208;2021-04-26|208;2021-04-28|209;2021-04-30|209;2021-05-02|209;2021-05-03|209;2021-05-05|209;2021-05-09|209;2021-05-10|209;2021-05-12|209;2021-05-16|210;2021-05-17|210;2021-05-19|210;2021-05-21|210;2021-05-23|210;2021-05-24|210;2021-05-26|210;2021-05-30|210;2021-05-31|210;2021-06-02|210;2021-06-04|210;2021-06-06|210;2021-06-07|210;2021-06-09|210;2021-06-11|210;2021-06-13|210;2021-06-14|210;2021-06-18|210;2021-06-21|210;2021-06-25|210;2021-06-28|210;,,2020-10-09|1;2020-10-14|1;2020-10-15|1;2020-10-20|1;2020-10-21|1;2020-10-28|1;2020-10-29|1;2020-10-30|1;2020-11-03|1;2020-11-05|1;2020-11-10|1;2020-11-12|1;2020-11-18|1;2020-11-20|1;2020-11-22|1;2020-11-26|1;2020-11-29|1;2020-11-30|1;2020-12-02|1;2020-12-04|1;2020-12-06|1;2020-12-07|1;2020-12-09|1;2020-12-13|1;2020-12-14|1;2020-12-16|1;2020-12-18|1;2020-12-21|1;2020-12-22|1;2020-12-23|1;2020-12-25|1;2020-12-27|1;2020-12-28|1;2020-12-29|1;2020-12-30|1;2021-01-01|1;2021-01-03|1;2021-01-04|1;2021-01-05|1;2021-01-06|1;2021-01-08|1;2021-01-11|1;2021-01-13|1;2021-01-15|1;2021-01-17|1;2021-01-18|1;2021-01-20|1;2021-01-22|2;2021-01-25|2;2021-01-27|2;2021-01-29|2;2021-01-31|2;2021-02-01|2;2021-02-03|2;2021-02-05|2;2021-02-07|2;2021-02-08|2;2021-02-10|2;2021-02-12|2;2021-02-14|2;2021-02-15|2;2021-02-17|2;2021-02-19|3;2021-02-22|3;2021-02-23|3;2021-02-24|3;2021-02-26|3;2021-02-28|3;2021-03-01|3;2021-03-03|3;2021-03-05|3;2021-03-07|3;2021-03-08|3;2021-03-10|3;2021-03-12|3;2021-03-14|3;2021-03-15|3;2021-03-17|3;2021-03-19|3;2021-03-21|3;2021-03-22|3;2021-03-24|3;2021-03-26|3;2021-03-28|3;2021-03-29|3;2021-03-31|3;2021-04-02|3;2021-04-04|3;2021-04-05|3;2021-04-07|3;2021-04-09|3;2021-04-11|3;2021-04-12|3;2021-04-14|3;2021-04-16|3;2021-04-18|3;2021-04-19|3;2021-04-21|3;2021-04-23|3;2021-04-25|3;2021-04-26|3;2021-04-28|null;2021-04-30|3;2021-05-02|3;2021-05-03|3;2021-05-05|3;2021-05-09|3;2021-05-10|3;2021-05-12|3;2021-05-16|3;2021-05-17|3;2021-05-19|3;2021-05-21|3;2021-05-23|3;2021-05-24|3;2021-05-26|3;2021-05-30|3;2021-05-31|3;2021-06-02|3;2021-06-04|3;2021-06-06|3;2021-06-07|3;2021-06-09|3;2021-06-11|3;2021-06-13|3;2021-06-14|3;2021-06-18|3;2021-06-21|3;2021-06-25|3;2021-06-28|3;,,,
2355,District of Columbia,Central Office Headquarters,,,2020-10-26|0;2020-10-27|0;2020-10-28|0;2020-10-29|0;2020-10-30|0;2020-11-03|0;2020-11-05|0;2020-11-10|0;2020-11-12|0;2020-11-14|0;2020-11-16|0;2020-11-18|0;2020-11-19|0;2020-11-20|0;2020-11-22|0;2020-11-23|0;2020-11-26|0;2020-11-29|0;2020-11-30|0;2020-12-02|0;2020-12-04|0;2020-12-06|0;2020-12-07|0;2020-12-09|0;2020-12-13|0;2020-12-16|0;2020-12-18|0;2020-12-21|0;2020-12-22|0;2020-12-23|0;2020-12-25|0;2020-12-27|0;2020-12-28|0;2020-12-29|0;2020-12-30|0;2021-01-01|0;2021-01-03|0;2021-01-04|0;2021-01-05|0;2021-01-06|0;2021-01-08|0;2021-01-10|0;2021-01-11|0;2021-01-13|0;2021-01-15|0;2021-01-17|0;2021-01-18|0;2021-01-20|0;2021-01-22|0;2021-01-25|0;2021-01-27|0;2021-01-29|0;2021-01-31|0;2021-02-01|0;2021-02-03|0;2021-02-05|0;2021-02-07|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-14|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-15|0;2021-03-17|0;2021-03-19|0;2021-03-21|0;2021-03-22|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-29|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-05-31|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;2021-06-28|0;,,2020-10-26|0;2020-10-27|0;2020-10-28|0;2020-10-29|0;2020-10-30|0;2020-11-03|0;2020-11-05|0;2020-11-10|0;2020-11-12|0;2020-11-14|0;2020-11-16|0;2020-11-18|0;2020-11-19|0;2020-11-20|0;2020-11-22|0;2020-11-23|0;2020-11-26|0;2020-11-29|0;2020-11-30|0;2020-12-02|0;2020-12-04|0;2020-12-06|0;2020-12-07|0;2020-12-09|0;2020-12-13|0;2020-12-16|0;2020-12-18|0;2020-12-21|0;2020-12-22|0;2020-12-23|0;2020-12-25|0;2020-12-27|0;2020-12-28|0;2020-12-29|0;2020-12-30|0;2021-01-01|0;2021-01-03|0;2021-01-04|0;2021-01-05|0;2021-01-06|0;2021-01-08|0;2021-01-10|0;2021-01-11|0;2021-01-13|0;2021-01-15|0;2021-01-17|0;2021-01-18|0;2021-01-20|0;2021-01-22|0;2021-01-25|0;2021-01-27|0;2021-01-29|0;2021-01-31|0;2021-02-01|0;2021-02-03|0;2021-02-05|0;2021-02-07|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-14|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-15|0;2021-03-17|0;2021-03-19|0;2021-03-21|0;2021-03-22|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-29|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-05-31|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;2021-06-28|0;,,,,,,2020-10-26|0;2020-10-27|0;2020-10-28|0;2020-10-29|0;2020-10-30|0;2020-11-03|0;2020-11-05|0;2020-11-10|0;2020-11-12|0;2020-11-14|0;2020-11-16|0;2020-11-18|0;2020-11-19|0;2020-11-20|0;2020-11-22|0;2020-11-23|0;2020-11-26|0;2020-11-29|0;2020-11-30|0;2020-12-02|0;2020-12-04|0;2020-12-06|0;2020-12-07|0;2020-12-09|0;2020-12-13|0;2020-12-16|0;2020-12-18|0;2020-12-21|0;2020-12-22|0;2020-12-23|0;2020-12-25|0;2020-12-27|0;2020-12-28|0;2020-12-29|0;2020-12-30|0;2021-01-01|0;2021-01-03|0;2021-01-04|0;2021-01-05|0;2021-01-06|0;2021-01-08|0;2021-01-10|0;2021-01-11|0;2021-01-13|0;2021-01-15|0;2021-01-17|0;2021-01-18|0;2021-01-20|0;2021-01-22|0;2021-01-25|0;2021-01-27|0;2021-01-29|0;2021-01-31|0;2021-02-01|0;2021-02-03|0;2021-02-05|0;2021-02-07|0;2021-02-08|0;2021-02-10|0;2021-02-12|0;2021-02-14|0;2021-02-15|0;2021-02-17|0;2021-02-19|0;2021-02-22|0;2021-02-23|0;2021-02-24|0;2021-02-26|0;2021-02-28|0;2021-03-01|0;2021-03-03|0;2021-03-05|0;2021-03-07|0;2021-03-08|0;2021-03-10|0;2021-03-12|0;2021-03-14|0;2021-03-15|0;2021-03-17|0;2021-03-19|0;2021-03-21|0;2021-03-22|0;2021-03-24|0;2021-03-26|0;2021-03-28|0;2021-03-29|0;2021-03-31|0;2021-04-02|0;2021-04-04|0;2021-04-05|0;2021-04-07|0;2021-04-09|0;2021-04-11|0;2021-04-12|0;2021-04-14|0;2021-04-16|0;2021-04-18|0;2021-04-19|0;2021-04-21|0;2021-04-23|0;2021-04-25|0;2021-04-26|0;2021-04-28|0;2021-04-30|0;2021-05-03|0;2021-05-05|0;2021-05-07|0;2021-05-09|0;2021-05-10|0;2021-05-12|0;2021-05-14|0;2021-05-16|0;2021-05-17|0;2021-05-19|0;2021-05-21|0;2021-05-23|0;2021-05-24|0;2021-05-26|0;2021-05-30|0;2021-05-31|0;2021-06-02|0;2021-06-04|0;2021-06-06|0;2021-06-07|0;2021-06-09|0;2021-06-11|0;2021-06-13|0;2021-06-14|0;2021-06-18|0;2021-06-21|0;2021-06-25|0;2021-06-28|0;,,2020-10-26|12;2020-10-27|12;2020-10-28|14;2020-10-29|14;2020-10-30|14;2020-11-03|14;2020-11-05|15;2020-11-10|15;2020-11-12|15;2020-11-14|15;2020-11-16|15;2020-11-18|15;2020-11-19|16;2020-11-20|16;2020-11-22|17;2020-11-23|18;2020-11-26|18;2020-11-29|18;2020-11-30|18;2020-12-02|20;2020-12-04|21;2020-12-06|21;2020-12-07|21;2020-12-09|21;2020-12-13|21;2020-12-16|24;2020-12-18|24;2020-12-21|25;2020-12-22|25;2020-12-23|25;2020-12-25|26;2020-12-27|26;2020-12-28|26;2020-12-29|26;2020-12-30|26;2021-01-01|27;2021-01-03|27;2021-01-04|27;2021-01-05|27;2021-01-06|30;2021-01-08|35;2021-01-10|35;2021-01-11|35;2021-01-13|35;2021-01-15|34;2021-01-17|34;2021-01-18|34;2021-01-20|35;2021-01-22|35;2021-01-25|35;2021-01-27|36;2021-01-29|37;2021-01-31|37;2021-02-01|37;2021-02-03|36;2021-02-05|36;2021-02-07|36;2021-02-08|36;2021-02-10|36;2021-02-12|36;2021-02-14|36;2021-02-15|36;2021-02-17|36;2021-02-19|38;2021-02-22|38;2021-02-23|38;2021-02-24|38;2021-02-26|38;2021-02-28|38;2021-03-01|38;2021-03-03|39;2021-03-05|38;2021-03-07|38;2021-03-08|38;2021-03-10|38;2021-03-12|38;2021-03-14|38;2021-03-15|39;2021-03-17|39;2021-03-19|39;2021-03-21|39;2021-03-22|39;2021-03-24|39;2021-03-26|39;2021-03-28|41;2021-03-29|41;2021-03-31|41;2021-04-02|41;2021-04-04|41;2021-04-05|41;2021-04-07|40;2021-04-09|41;2021-04-11|41;2021-04-12|41;2021-04-14|41;2021-04-16|4;2021-04-18|4;2021-04-19|4;2021-04-21|4;2021-04-23|4;2021-04-25|5;2021-04-26|5;2021-04-28|5;2021-04-30|5;2021-05-03|5;2021-05-05|7;2021-05-07|7;2021-05-09|7;2021-05-10|7;2021-05-12|7;2021-05-14|7;2021-05-16|7;2021-05-17|7;2021-05-19|6;2021-05-21|6;2021-05-23|6;2021-05-24|7;2021-05-26|7;2021-05-30|7;2021-05-31|7;2021-06-02|6;2021-06-04|6;2021-06-06|6;2021-06-07|6;2021-06-09|6;2021-06-11|6;2021-06-13|6;2021-06-14|6;2021-06-18|6;2021-06-21|6;2021-06-25|6;2021-06-28|6;,
